step,predicted_scaled,actual_scaled,residual_error,threshold,status,processing_time_ms,predicted_raw,actual_raw
88,0.2738,0.3546,0.0808,0.05,ANOMALY,379.097,50.1,56.44
89,0.2715,0.3533,0.0818,0.05,ANOMALY,358.929,49.92,56.34
90,0.2628,0.3617,0.0989,0.05,ANOMALY,368.422,49.24,57.0
91,0.2597,0.3325,0.0728,0.05,ANOMALY,364.088,49.0,54.7
92,0.2507,0.3201,0.0693,0.05,ANOMALY,359.636,48.29,53.73
93,0.2522,0.3332,0.081,0.05,ANOMALY,351.029,48.41,54.76
94,0.2483,0.2717,0.0234,0.05,NORMAL,367.636,48.1,49.94
95,0.2491,0.2809,0.0318,0.05,NORMAL,417.712,48.16,50.66
96,0.2498,0.2856,0.0358,0.05,NORMAL,486.351,48.22,51.03
97,0.2505,0.2981,0.0476,0.05,NORMAL,434.126,48.27,52.01
98,0.252,0.3515,0.0995,0.05,ANOMALY,426.216,48.4,56.2
99,0.2522,0.3016,0.0494,0.05,NORMAL,435.339,48.41,52.28
100,0.2507,0.3218,0.0711,0.05,ANOMALY,421.527,48.29,53.87
101,0.2531,0.386,0.1329,0.05,ANOMALY,435.267,48.48,58.9
102,0.2533,0.3226,0.0693,0.05,ANOMALY,406.752,48.5,53.93
103,0.2542,0.3645,0.1103,0.05,ANOMALY,450.883,48.56,57.21
104,0.2502,0.3005,0.0503,0.05,ANOMALY,366.48,48.25,52.2
105,0.2499,0.3284,0.0785,0.05,ANOMALY,429.748,48.23,54.38
106,0.2485,0.2999,0.0514,0.05,ANOMALY,368.712,48.12,52.15
107,0.2469,0.3233,0.0764,0.05,ANOMALY,370.97,47.99,53.98
108,0.2426,0.3684,0.1258,0.05,ANOMALY,374.942,47.65,57.52
109,0.2424,0.2702,0.0277,0.05,NORMAL,384.19,47.64,49.82
110,0.2419,0.3529,0.111,0.05,ANOMALY,357.903,47.6,56.3
111,0.2423,0.3453,0.1031,0.05,ANOMALY,367.505,47.63,55.71
